land_record_id,farmer_id,state,district,survey_number,patta_number,land_area,land_type,ownership_status,document_status,land_use,last_updated,ethical_flag,dispute_status,verification_source
LRWE000037,F184164,West Bengal,Malda,913/39,WB97728933,17.38,wet,inherited,valid,agricultural,16-09-2019,,none,satellite_mapping
LRMA000038,F199474,Maharashtra,Sangli,637-F,MH39865443,24.79,garden,owner,valid,agricultural,18-02-2018,,none,satellite_mapping
LRAN000039,F792369,Andhra Pradesh,Tirupati,557-C,AP74521280,20.87,plantation,tenant,valid,agricultural,08-07-2023,,none,satellite_mapping
LRWE000040,F348312,West Bengal,Durgapur,169-B,WB95155860,31.58,garden,inherited,valid,agricultural,27-04-2020,,none,revenue_records
LRHA000041,F448533,Haryana,Gurugram,25/344/2,HR71417798,44.19,wet,inherited,valid,horticultural,07-12-2022,,none,satellite_mapping
LRUT000042,F660604,Uttar Pradesh,Bareilly,47/478/8,,26.36,garden,joint,valid,agricultural,18-10-2018,encroachment_on_government_land,none,unverified
LRMA000043,F691112,Madhya Pradesh,Sagar,S4125,,35.44,plantation,inherited,invalid,horticultural,05-07-2020,benami_transaction,pending_mutation,revenue_records
LRTA000044,F832350,Tamil Nadu,Thanjavur,55/90/2,,43.89,garden,inherited,expired,converted_non_agricultural,26-05-2023,wetland_conversion_violation,encroachment_case,manual_verification
LRMA000045,F138690,Madhya Pradesh,Sagar,48/566/6,MP14200001,4.52,dry,tenant,valid,agricultural,11-03-2019,,none,satellite_mapping
LRRA000046,F226916,Rajasthan,Pali,56-B,RJ84071370,37.54,dry,owner,valid,agricultural,26-06-2020,,none,satellite_mapping
LRHA000047,F435279,Haryana,Faridabad,754-D,HR47369100,12.99,wet,tenant,valid,agricultural,30-11-2018,,none,digitized_land_registry
LRAN000048,F308778,Andhra Pradesh,Kurnool,S5448,AP37531589,43.03,garden,tenant,valid,horticultural,12-06-2019,,none,revenue_records
LRKA000049,F158854,Karnataka,Mangalore,233/71,KA16025749,34.37,garden,owner,valid,horticultural,16-03-2024,,none,revenue_records
LRHA000050,F909062,Haryana,Sonipat,41/635/5,HR25798891,47.09,plantation,inherited,valid,horticultural,13-10-2021,,none,revenue_records
LRKA000051,F272077,Karnataka,Gulbarga,218/96,KA95225687,10.87,wet,owner,valid,agricultural,09-11-2023,,none,revenue_records
LRUT000052,F138591,Uttar Pradesh,Gorakhpur,289-D,UP57696981,4.11,plantation,joint,valid,horticultural,25-03-2022,,none,revenue_records
LRWE000053,F670657,West Bengal,Bardhaman,20/887/4,WB98061111,42.55,dry,owner,valid,agricultural,25-09-2021,,none,revenue_records
LRPU000054,F964049,Punjab,Hoshiarpur,26/977/6,PB46178513,20.67,plantation,owner,valid,horticultural,01-05-2018,,none,revenue_records
LRWE000055,F230818,West Bengal,Durgapur,318/8,WB25608171,45.47,dry,inherited,valid,agricultural,03-12-2019,,none,satellite_mapping
LRGU000056,F466739,Gujarat,Anand,S6862,GJ39486591,7.12,wet,owner,valid,agricultural,28-06-2023,,none,revenue_records
LRHA000057,F981582,Haryana,Karnal,778-D,HR44605373,2.39,plantation,owner,valid,horticultural,31-03-2024,,none,satellite_mapping
LRHA000058,F825398,Haryana,Ambala,S8483,HR34515744,19,wet,owner,valid,agricultural,11-02-2022,,none,satellite_mapping
LRWE000059,F774410,West Bengal,Durgapur,466-F,WB70312553,10.7,wet,tenant,pending_verification,agricultural,26-03-2018,benami_transaction,pending_mutation,manual_verification
LRUT000060,F511781,Uttar Pradesh,Lucknow,58/723/8,UP24822526,15.04,wet,owner,valid,horticultural,07-04-2020,,none,satellite_mapping
LRTA000061,F946781,Tamil Nadu,Thanjavur,900/56,TN71719042,36.46,wet,joint,pending_verification,forest,18-03-2024,forest_land_encroachment,encroachment_case,manual_verification
LRMA000062,F627369,Maharashtra,Nashik,S2036,MH86881823,43.54,garden,inherited,invalid,agricultural,14-04-2023,womens_inheritance_denial,active_litigation,unverified
LRGU000063,F157558,Gujarat,Vadodara,S5787,GJ16739260,16.07,wet,owner,valid,horticultural,05-04-2021,encroachment_on_government_land,active_litigation,unverified
LRTE000064,F430909,Telangana,Hyderabad,S8380,TS35927149,17.11,garden,tenant,valid,horticultural,07-05-2024,,none,satellite_mapping
LRHA000065,F750879,Haryana,Ambala,S6050,HR84168544,43.54,plantation,joint,expired,forest,29-10-2020,water_body_encroachment,none,revenue_records
LRKA000066,F756545,Karnataka,Hubli,462/41,KA36005868,45.72,garden,owner,valid,agricultural,14-09-2024,ceiling_breach,active_litigation,revenue_records
LRHA000067,F698378,Haryana,Rohtak,381-D,HR83641466,20.96,plantation,owner,valid,horticultural,19-06-2021,,none,digitized_land_registry
LRMA000068,F643784,Maharashtra,Nashik,213-E,MH74854633,3.4,wet,joint,valid,agricultural,23-11-2019,,none,revenue_records
LRWE000069,F237463,West Bengal,Bardhaman,31/328/9,WB55461356,35.13,plantation,tenant,valid,agricultural,12-03-2020,,none,satellite_mapping
LRWE000070,F844021,West Bengal,Baharampur,S5156,WB65421589,48.35,dry,owner,pending_verification,fallow,08-07-2021,environmental_clearance_violation,none,manual_verification
LRTA000071,F944959,Tamil Nadu,Tiruchirappalli,833/75,TN96612068,39.45,plantation,joint,valid,horticultural,11-06-2023,,none,revenue_records
LRKA000072,F482966,Karnataka,Gulbarga,802/67,KA46118302,19.33,dry,joint,pending_verification,fallow,19-01-2018,water_body_encroachment,none,manual_verification
LRTE000073,F886388,Telangana,Suryapet,875/89,TS75720047,10.46,dry,owner,pending_verification,agricultural,30-07-2019,common_land_appropriation,pending_mutation,revenue_records
LRWE000074,F518129,West Bengal,Asansol,169/17,WB80518542,44.51,plantation,joint,valid,agricultural,05-12-2023,tribal_land_violation,none,revenue_records
LRAN000075,F131013,Andhra Pradesh,Kurnool,S9826,AP12354855,5.6,wet,owner,valid,agricultural,26-02-2018,,none,digitized_land_registry
LRTE000076,F924079,Telangana,Suryapet,28/74/2,TS29959435,41.02,plantation,inherited,valid,horticultural,15-08-2018,,none,revenue_records
LRTA000077,F471928,Tamil Nadu,Madurai,68/571/2,TN53070392,17.44,wet,tenant,valid,agricultural,01-09-2018,,none,digitized_land_registry
LRWE000078,F417842,West Bengal,Asansol,44/556/7,WB42776259,16.06,dry,disputed,expired,converted_non_agricultural,25-02-2021,environmental_clearance_violation,encroachment_case,manual_verification
LRHA000079,F158001,Haryana,Karnal,16-F,HR60045547,47.83,dry,tenant,valid,agricultural,12-06-2022,,none,revenue_records
LRAN000080,F423113,Andhra Pradesh,Tirupati,6/793/4,AP55999720,41.84,dry,owner,valid,agricultural,27-03-2022,,none,revenue_records
LRAN000081,F248603,Andhra Pradesh,Nellore,98/458/3,AP37555036,3.99,wet,joint,invalid,horticultural,14-04-2022,common_land_appropriation,pending_mutation,manual_verification
LRPU000082,F583037,Punjab,Amritsar,20/553/3,PB68773572,28.02,plantation,inherited,missing,horticultural,11-06-2021,sc_st_land_alienation,inheritance_dispute,unverified
LRMA000083,F458599,Maharashtra,Aurangabad,S8068,MH51765333,38.83,garden,joint,pending_verification,agricultural,23-05-2022,common_land_appropriation,boundary_dispute,revenue_records
LRGU000084,F961204,Gujarat,Vadodara,308/32,GJ72221845,21.18,plantation,government_lease,valid,forest,26-02-2019,environmental_clearance_violation,none,manual_verification
LRPU000085,F949022,Punjab,Mohali,858/42,PB91813038,7.62,dry,joint,valid,agricultural,20-01-2019,,none,satellite_mapping
LRMA000086,F409360,Maharashtra,Nashik,S1893,MH20176030,10.98,garden,inherited,valid,horticultural,13-08-2019,,none,revenue_records
LRHA000087,F265261,Haryana,Gurugram,S9400,HR40397284,24.91,wet,joint,valid,agricultural,23-03-2024,,none,digitized_land_registry
LRAN000088,F389805,Andhra Pradesh,Vijayawada,811-B,AP48120187,3.75,garden,owner,valid,agricultural,01-12-2024,,none,satellite_mapping
LRPU000089,F516529,Punjab,Hoshiarpur,521-C,PB70191381,22.07,dry,joint,valid,agricultural,24-06-2019,,none,digitized_land_registry
LRMA000090,F744586,Maharashtra,Sangli,16/853/3,MH47431755,29.12,wet,owner,valid,agricultural,01-06-2024,,none,digitized_land_registry
LRTA000091,F710856,Tamil Nadu,Coimbatore,842-A,TN72882944,41.64,wet,disputed,pending_verification,forest,03-08-2019,wetland_conversion_violation,encroachment_case,revenue_records
LRAN000092,F472594,Andhra Pradesh,Tirupati,438/33,AP21808548,6.65,wet,tenant,valid,agricultural,16-02-2024,,none,revenue_records
LRMA000093,F528505,Madhya Pradesh,Dewas,S7868,MP62026963,36.56,wet,joint,invalid,agricultural,06-11-2020,common_land_appropriation,pending_mutation,manual_verification
LRRA000094,F109812,Rajasthan,Alwar,65/5,RJ79783031,25.71,garden,tenant,valid,agricultural,01-09-2021,,none,satellite_mapping
LRAN000095,F385484,Andhra Pradesh,Kurnool,288-E,AP63075085,23.58,plantation,disputed,valid,converted_non_agricultural,29-10-2023,water_body_encroachment,none,manual_verification
LRAN000096,F368744,Andhra Pradesh,Guntur,125-F,AP24228090,38.5,garden,inherited,invalid,horticultural,15-05-2020,benami_transaction,boundary_dispute,revenue_records
LRWE000097,F925037,West Bengal,Durgapur,935/22,WB73726720,33.41,dry,joint,valid,agricultural,22-06-2023,,none,digitized_land_registry
LRGU000098,F817423,Gujarat,Surat,834/16,GJ90391937,33.16,plantation,tenant,pending_verification,agricultural,29-10-2024,sc_st_land_alienation,active_litigation,unverified
LRKA000099,F672845,Karnataka,Hubli,S6543,KA14153955,11.42,wet,inherited,valid,agricultural,23-12-2023,,none,satellite_mapping
LRMA000100,F160419,Madhya Pradesh,Ratlam,970/48,MP43070487,1.39,wet,joint,valid,horticultural,14-09-2023,,none,revenue_records
LRPU000101,F516483,Punjab,Mohali,895/27,PB74134187,45.91,dry,disputed,expired,forest,24-08-2019,forest_land_encroachment,none,unverified
LRTA000102,F134505,Tamil Nadu,Erode,374-F,,38.98,plantation,owner,invalid,agricultural,10-12-2020,fraudulent_mutation,boundary_dispute,revenue_records
LRKA000103,F677121,Karnataka,Tumkur,974/64,,42.41,wet,owner,invalid,agricultural,11-06-2023,benami_transaction,pending_mutation,revenue_records
LRRA000104,F318517,Rajasthan,Jaipur,S6558,RJ83766972,25.26,wet,inherited,valid,horticultural,31-08-2019,,none,satellite_mapping
LRGU000105,F986348,Gujarat,Surat,703-D,GJ85006657,22.87,wet,owner,valid,agricultural,04-12-2023,,none,digitized_land_registry
LRWE000106,F310298,West Bengal,Kharagpur,271/2,WB20479499,31.03,wet,tenant,valid,horticultural,27-01-2023,,none,digitized_land_registry
LRHA000107,F643969,Haryana,Sonipat,S4438,HR10081843,7.33,dry,tenant,valid,horticultural,24-07-2023,,none,digitized_land_registry
LRAN000108,F707974,Andhra Pradesh,Rajahmundry,743/96,AP12420551,48.96,dry,tenant,valid,horticultural,18-02-2022,,none,satellite_mapping
LRMA000109,F762939,Madhya Pradesh,Ujjain,S9638,MP54179809,19.28,plantation,inherited,pending_verification,agricultural,25-02-2019,common_land_appropriation,pending_mutation,revenue_records
LRRA000110,F693792,Rajasthan,Bhilwara,S1861,RJ73602411,1.27,wet,joint,valid,agricultural,10-11-2022,,none,digitized_land_registry
LRWE000111,F102998,West Bengal,Siliguri,259-A,WB97056336,4.13,dry,tenant,valid,agricultural,14-02-2018,,none,satellite_mapping
LRTE000112,F982763,Telangana,Warangal,535-E,TS66220827,6.88,dry,joint,valid,horticultural,15-06-2024,,none,satellite_mapping
LRMA000113,F811898,Maharashtra,Nagpur,S6183,MH61021324,17.03,wet,owner,valid,horticultural,17-02-2022,,none,digitized_land_registry
LRKA000114,F696874,Karnataka,Bellary,693/14,KA44450438,31.04,dry,owner,valid,horticultural,03-01-2022,ceiling_breach,none,manual_verification
LRTA000115,F513376,Tamil Nadu,Madurai,760-C,TN19869782,24.01,garden,joint,valid,agricultural,23-05-2018,,none,revenue_records
LRTA000116,F573990,Tamil Nadu,Coimbatore,80/181/7,TN32669820,35.56,plantation,owner,pending_verification,agricultural,15-07-2021,encroachment_on_government_land,active_litigation,revenue_records
LRTA000117,F471374,Tamil Nadu,Tiruchirappalli,208/48,TN30025771,74.22,dry,joint,valid,agricultural,05-01-2023,ceiling_breach,active_litigation,unverified
LRMA000118,F182044,Madhya Pradesh,Gwalior,401/55,MP21151816,17.57,dry,disputed,missing,agricultural,28-01-2023,minor_heir_exploitation,inheritance_dispute,revenue_records
LRRA000119,F458413,Rajasthan,Udaipur,989-B,RJ56614803,43.69,garden,owner,valid,agricultural,13-03-2018,,none,digitized_land_registry
LRWE000120,F544598,West Bengal,Durgapur,31/64/7,WB84294210,7.52,dry,owner,invalid,agricultural,29-01-2018,fraudulent_mutation,pending_mutation,manual_verification
LRAN000121,F634812,Andhra Pradesh,Guntur,15/31,AP70873583,6.07,dry,joint,valid,agricultural,01-02-2018,,none,revenue_records
LRAN000122,F244252,Andhra Pradesh,Tirupati,S4306,AP11651183,16.69,plantation,joint,pending_verification,agricultural,14-12-2024,encroachment_on_government_land,active_litigation,revenue_records
LRRA000123,F253028,Rajasthan,Bikaner,27/540/2,RJ94052081,23.41,dry,owner,valid,agricultural,23-09-2019,,none,digitized_land_registry
LRTA000124,F467682,Tamil Nadu,Vellore,876/9,TN45557995,18.56,dry,owner,valid,agricultural,21-02-2024,,none,revenue_records
LRGU000125,F466565,Gujarat,Vadodara,S1000,GJ75972392,14.75,garden,joint,valid,agricultural,01-07-2022,,none,digitized_land_registry
LRTA000126,F169749,Tamil Nadu,Salem,591-C,TN81503150,25.3,wet,owner,valid,agricultural,28-02-2024,tribal_land_violation,none,unverified
LRMA000127,F225328,Maharashtra,Satara,676/32,MH43768744,5.75,garden,tenant,valid,agricultural,31-08-2021,,none,digitized_land_registry
LRMA000128,F309065,Maharashtra,Solapur,81/16/2,MH70570188,49.26,garden,owner,valid,agricultural,01-12-2019,,none,revenue_records
LRMA000129,F166862,Maharashtra,Pune,S4158,MH47704995,9.29,garden,joint,valid,agricultural,29-04-2020,,none,digitized_land_registry
LRGU000130,F198820,Gujarat,Jamnagar,144/74,GJ43669818,29.81,plantation,joint,pending_verification,agricultural,09-03-2022,fraudulent_mutation,boundary_dispute,unverified
LRGU000131,F717119,Gujarat,Bhavnagar,344-C,GJ81186543,20.17,garden,joint,valid,horticultural,11-10-2018,,none,digitized_land_registry
LRMA000132,F471307,Maharashtra,Solapur,82/280/3,,18.38,wet,owner,pending_verification,agricultural,15-05-2018,encroachment_on_government_land,none,unverified
LRKA000133,F512624,Karnataka,Bellary,764-C,KA83318751,37.25,garden,inherited,valid,agricultural,13-06-2024,,none,satellite_mapping
LRGU000134,F834093,Gujarat,Ahmedabad,59/224/6,GJ69424390,28.79,wet,owner,valid,agricultural,01-03-2023,,none,revenue_records
LRGU000135,F549529,Gujarat,Mehsana,S7162,GJ34958590,23.02,dry,tenant,valid,agricultural,26-07-2020,,none,revenue_records
LRTE000136,F974812,Telangana,Nizamabad,S486,TS11959942,23.52,plantation,owner,valid,agricultural,19-07-2018,,none,digitized_land_registry
LRTE000137,F851445,Telangana,Mahbubnagar,652-E,TS95698860,25.56,plantation,disputed,expired,agricultural,11-11-2018,womens_inheritance_denial,inheritance_dispute,revenue_records
LRUT000138,F276132,Uttar Pradesh,Aligarh,781-B,UP78661778,39.36,wet,inherited,valid,agricultural,29-01-2021,,none,digitized_land_registry
LRTE000139,F321283,Telangana,Suryapet,30/793/1,TS82985284,34.06,plantation,tenant,expired,agricultural,18-02-2024,false_succession_claim,active_litigation,unverified
LRMA000140,F217275,Madhya Pradesh,Bhopal,6/916/2,MP12698634,22.69,dry,inherited,valid,agricultural,06-08-2024,,none,satellite_mapping
LRHA000141,F241663,Haryana,Panipat,157/22,,42.26,plantation,owner,invalid,agricultural,24-01-2024,fraudulent_mutation,boundary_dispute,unverified
LRHA000142,F884091,Haryana,Rohtak,981-D,HR43418706,20.34,garden,inherited,valid,agricultural,30-06-2023,,none,satellite_mapping
LRGU000143,F968323,Gujarat,Ahmedabad,9/146/3,GJ37794990,8.04,garden,tenant,valid,agricultural,23-07-2024,,none,digitized_land_registry
LRUT000144,F850745,Uttar Pradesh,Agra,3/153/2,UP95663695,34.76,plantation,owner,valid,agricultural,10-05-2019,ceiling_breach,active_litigation,manual_verification
LRGU000145,F736644,Gujarat,Gandhinagar,S7352,GJ11590549,12.01,dry,joint,expired,fallow,15-12-2024,environmental_clearance_violation,encroachment_case,revenue_records
LRMA000146,F904540,Madhya Pradesh,Sagar,381/66,MP97819914,15.37,wet,joint,valid,agricultural,25-08-2019,,none,revenue_records
LRPU000147,F686698,Punjab,Amritsar,301-F,PB50352313,25.37,plantation,joint,pending_verification,agricultural,17-06-2018,tribal_land_violation,none,manual_verification
LRHA000148,F109093,Haryana,Ambala,624/41,HR29964084,45.74,garden,inherited,valid,agricultural,16-08-2024,,none,satellite_mapping
LRWE000149,F507566,West Bengal,Asansol,11/806/9,WB54536707,47.34,dry,tenant,valid,agricultural,15-09-2022,,none,revenue_records
LRGU000150,F809813,Gujarat,Mehsana,943/14,GJ85175455,40.97,dry,owner,valid,horticultural,17-04-2020,,none,digitized_land_registry
LRTE000151,F476429,Telangana,Warangal,S7899,TS67088456,37.68,dry,joint,valid,horticultural,10-11-2020,,none,revenue_records
LRAN000152,F100859,Andhra Pradesh,Kurnool,723/65,AP61917905,46.59,plantation,inherited,valid,agricultural,19-01-2024,,none,revenue_records
LRHA000153,F299448,Haryana,Panipat,355/75,HR59686854,20.09,garden,inherited,valid,agricultural,31-10-2021,,none,revenue_records
LRMA000154,F404612,Madhya Pradesh,Rewa,33/586/8,MP49380907,18.41,plantation,tenant,valid,horticultural,12-06-2024,,none,revenue_records
LRMA000155,F189765,Madhya Pradesh,Satna,6/196/6,MP57963687,10.33,garden,owner,valid,agricultural,06-05-2018,,none,satellite_mapping
LRGU000156,F103127,Gujarat,Vadodara,S9591,GJ14748856,27.63,garden,joint,valid,agricultural,12-10-2021,,none,revenue_records
LRPU000157,F194085,Punjab,Moga,88/237/8,PB76229532,1.31,dry,owner,valid,agricultural,07-02-2019,,none,digitized_land_registry
LRRA000158,F334182,Rajasthan,Kota,S429,RJ45695123,16.18,garden,joint,valid,horticultural,04-08-2022,,none,revenue_records
LRTA000159,F147035,Tamil Nadu,Thanjavur,72/279/9,TN20358848,10.49,dry,owner,valid,agricultural,07-09-2020,encroachment_on_government_land,none,manual_verification
LRMA000160,F684916,Maharashtra,Ahmednagar,S4487,MH72659445,46.59,garden,owner,valid,agricultural,01-01-2018,,none,satellite_mapping
LRTA000161,F140201,Tamil Nadu,Tiruchirappalli,225-B,TN34491659,7.15,garden,owner,valid,agricultural,16-03-2023,,none,satellite_mapping
LRTE000162,F637221,Telangana,Warangal,S7570,TS21123411,33.33,dry,inherited,valid,agricultural,20-08-2023,,none,satellite_mapping
LRAN000163,F126027,Andhra Pradesh,Vijayawada,205/79,AP61594361,3.75,garden,tenant,valid,horticultural,17-04-2022,,none,revenue_records
LRMA000164,F324638,Madhya Pradesh,Jabalpur,S2400,MP87205720,15.56,dry,disputed,missing,agricultural,30-06-2022,womens_inheritance_denial,inheritance_dispute,manual_verification
LRMA000165,F319222,Maharashtra,Solapur,23/110/4,MH61468680,17.65,dry,government_lease,pending_verification,converted_non_agricultural,04-07-2019,water_body_encroachment,encroachment_case,revenue_records
LRTA000166,F962725,Tamil Nadu,Vellore,165-D,TN15013658,20.37,wet,tenant,valid,agricultural,19-09-2022,,none,satellite_mapping
LRRA000167,F715341,Rajasthan,Bhilwara,614-C,RJ67412822,46.69,wet,inherited,valid,agricultural,21-02-2024,,none,satellite_mapping
LRHA000168,F480820,Haryana,Panipat,660-A,HR58494414,28.47,wet,joint,valid,horticultural,02-12-2023,,none,satellite_mapping
LRGU000169,F172825,Gujarat,Vadodara,84/547/7,GJ29791918,41.05,garden,tenant,valid,agricultural,25-09-2023,,none,digitized_land_registry
LRTE000170,F123522,Telangana,Warangal,54/775/7,TS27929013,17.49,wet,owner,valid,agricultural,21-02-2019,,none,digitized_land_registry
LRMA000171,F539746,Madhya Pradesh,Sagar,S4438,MP95302718,23.49,plantation,owner,valid,agricultural,01-05-2022,,none,satellite_mapping
LRRA000172,F277800,Rajasthan,Udaipur,260-B,,4.65,dry,joint,valid,fallow,13-04-2018,wetland_conversion_violation,none,unverified
LRMA000173,F458262,Maharashtra,Pune,S2455,MH62032507,6.63,garden,inherited,invalid,agricultural,28-03-2020,fraudulent_mutation,pending_mutation,unverified
LRPU000174,F276029,Punjab,Mohali,S305,PB64306680,27.45,wet,owner,valid,agricultural,05-06-2019,,none,digitized_land_registry
LRPU000175,F888285,Punjab,Ludhiana,S428,PB33163664,44.22,wet,inherited,valid,horticultural,09-06-2020,,none,digitized_land_registry
LRWE000176,F934504,West Bengal,Kharagpur,35/73,WB70417115,40.07,garden,inherited,pending_verification,horticultural,24-12-2024,common_land_appropriation,pending_mutation,unverified
LRAN000177,F474692,Andhra Pradesh,Guntur,46/724/1,AP72578828,25.06,wet,tenant,valid,horticultural,11-01-2020,,none,revenue_records
LRRA000178,F130805,Rajasthan,Bikaner,786/83,RJ65273260,39.36,dry,owner,valid,agricultural,30-04-2023,,none,digitized_land_registry
LRRA000179,F682190,Rajasthan,Sikar,706/94,RJ89440575,14.92,wet,owner,invalid,agricultural,29-03-2018,common_land_appropriation,boundary_dispute,revenue_records
LRRA000180,F847698,Rajasthan,Alwar,S5195,RJ47222762,19.79,dry,inherited,invalid,agricultural,12-06-2022,benami_transaction,pending_mutation,revenue_records
LRMA000181,F670670,Maharashtra,Solapur,48/119/6,MH86563095,49.26,wet,tenant,pending_verification,horticultural,21-05-2024,womens_inheritance_denial,pending_mutation,unverified
LRRA000182,F650659,Rajasthan,Jodhpur,373/23,RJ89745542,24.86,plantation,inherited,valid,agricultural,12-12-2018,,none,digitized_land_registry
LRPU000183,F216514,Punjab,Patiala,S1471,PB73978991,16.98,wet,inherited,valid,agricultural,27-09-2023,,none,satellite_mapping
LRRA000184,F639253,Rajasthan,Bikaner,509-F,RJ17855341,36.4,dry,owner,valid,agricultural,22-09-2019,ceiling_breach,none,manual_verification
LRHA000185,F820842,Haryana,Rohtak,11-C,HR65462149,21.66,dry,owner,pending_verification,agricultural,31-03-2020,tribal_land_violation,active_litigation,manual_verification
